Name,Pw,Money,Age,Rate,accNum,keyID,keyMoney
YzJac2NXVnFZRUJQU1lPTlNI,c97a675b297fc87754635a92fffd4863172b6ac64f302cfa77e80c62451069e6,TWpJM016STJNalVKV0dST1VN,63,5.2,9171-2084-5230-7154,YEBPSYONSH,JWGROUM
WlhoeWJtTjBTS1ZNT0tRU1hB,88bf57ef42a3503c89de6b0b3cdfa402e3cf56aea522e2a63183d26ec67eb40f,TmpjeU9UTTVOekVURUhaV1lF,73,2.9,4216-8969-1410-2799,SKVMOKQSXA,TEHZWYE
WkdkMmIyTjZaQ1JWWEJRTUxZ,a2e8a124dc67d00f12cb699929ec37619b2219cfa804858f955ecb5c97e157bc,T0RReE5Ea3dPRFFDVEJBVEFN,37,7.7,7950-6800-4792-4901,ZCRVXBQMLY,CTBATAM
WTJGMWFXdDFWTVlTS1RHWlBZ,e6b6e9a6790d5b2cc32f3458765d2ae3b4d87a3f24b2878c93be81f573312661,TWpRNE5ERTRPRGNTQURZT0dY,60,8,6082-7045-1499-6072,VMYSKTGZPY,SADYOGX
WkhwamVYRmtFU1RXRUVDWVBO,9c689bb89995d02b661d5ceb9e89bb17f07a6141fc492c1e9f738607a4c3cbcf,TVRZME5UZ3hOellPUEVHSEdD,49,8.7,3254-6652-3451-1814,ESTWEECYPN,OPEGHGC
WlhSeWFuVjNURlhUQkhHWFZO,b36d297741adf220b0c00de254ff1e7621893efcd2d4389186b3b204689e5e8e,TWpBME1qVTBNVE1WRUxCVE1B,20,5.7,5536-3611-4291-5654,TFXTBHGXVN,VELBTMA
YUhSa2JYQjZTS0RNWE9VVk9R,e5397b672c212d12decd1a5ff59a80d5dce7f9afabecf828afb8ea1c3b6e1c7d,T0RVMU1qVXlORFlZS0NFVUVZ,37,1.8,2383-8843-4483-2225,SKDMXOUVOQ,YKCEUEY
Ym1wdWMyTnRJQlhVT0dKSlVB,eb5bff4fe9a36a5051e35d1a1f827d042a5fac91196b25730210f1d3f0e48651,TkRNNU5UYzVOZ0hQVVNOQlhG,59,1.6,3404-9656-8728-4789,IBXUOGJJUA,HPUSNBXF
Y0habVoyTnlISU5QTlpYSlZQ,f897ffb032dd818e76c09c467a5e26744bfbec22c49c83da52b5c40f2d9cc636,TXpreE5EZzVOVEFVT0xFQlJK,80,4.3,8009-5274-1787-5105,HINPNZXJVP,UOLEBRJ
YUhSeGNYbHdIVlJEUkVXWEpa,fc4ed483166573507820588bff58f070d5f2b339869999436fcce7da058c0df7,T1RFMU5EQTJNekVKWlVVWlJY,49,6.6,1807-9968-8085-4632,HVRDREWXJZ,JZUUZRX
Y1hwelpXaHFIRERRRlVDQlhX,11e90c2f1f20b3308a8d03f86fbfd5f788ad83405063c44e2e19bae8d500c8e9,TkRVMU1UWTVORGtNUlFTWVRB,63,5.8,3784-4989-1010-8000,HDDQFUCBXW,MRQSYTA
Ykhsa2NYaDVPWU1LTk5CSEdF,a89a394e5a25a03658a523340dca2e49643a00faffc953c42f1d320b9747ac9b,T1Rrd05EUXdORGtOREhNRkxU,23,2.9,3535-2553-4483-7340,OYMKNNBHGE,NDHMFLT
YUc1eGJXbGhQSEhNT1lZVkVY,30718a71e4dad09f7ec47dc89b488079c5dcd9631b7d3d9e987ffc6750fb013f,TnpZMk9UWXdPRFlLVE5IR0dZ,79,7.8,2526-5142-6290-9888,PHHMOYYVEX,KTNHGGY
YTI1NlkyRm9EWUNHS0VFU1JE,8319245fef5f91cec4ca9331f78469b2a7fcfbc0c8d2a3ac3fac600a472411f1,TWpBNE9EWTJNekFJWUhYR1lJ,51,7.1,3579-2413-8302-9734,DYCGKEESRD,IYHXGYI
YW0xaVptdG5JUUVFTFNOR01T,057bcee2292238df521a96cbc8a13959aba94d1791c7a50988c96aba34d01f6b,TkRJeE1UQXpPVFVRRU1VSlZU,79,5,8821-8044-1312-1816,IQEELSNGMS,QEMUJVT
YkcxaVkyZG9SUVRJSkVPUkZI,10f1a33794d7a742ec1de98f58d110d131277b216c5cfc7952ffc802b0279d32,TlRFd01EZzBNVGtMRkROR0tQ,35,7.3,3809-4855-1904-2702,RQTIJEORFH,LFDNGKP
WkhsemVIcHpYWEhQWEpRRUZF,6a8aeb2a089b67b00a5837a0c767dde49fce87172832f7ab5f3dd8932b60c7b0,TnpNMk9EVTVORFFZTFZCTlhE,69,5.4,5087-3297-7491-9873,XXHPXJQEFE,YLVBNXD
ZG5Ob2FXNTBWQ1lSSU1RWEZR,b18682a42f2e532cf7683c87a4d3abdc62ef54495e325581cd8b903b24f70153,TlRBMk1UQXpNallLSkhJQUZV,78,8.1,6605-5532-9226-5269,VCYRIMQXFQ,KJHIAFU
ZUdGNFkzZDZMRExJWURQWVpN,4254d60fda3f0d28933ecd781bf0548e4a1932638f2b67cf196ad964fc6130d7,TmpnNE16QTNNemNYWE5WUUdK,37,2.4,4938-4142-1585-3234,LDLIYDPYZM,XXNVQGJ
WjJselltNWhNTE5QV1JMWlRR,bd2d23fcf469ce828a9d49ffdfad34b0c04e027d127b9df08059dda2365bdcee,TWpnNE1URXlOZ1RUQldQSUVL,79,2.7,5624-6152-3898-8186,MLNPWRLZTQ,TTBWPIEK
ZW5KNWRXVnJKWVZOTVNXVklS,a45c1c5538675ddcfa12da5b4f76f6e47974d2cb91e16e66ee62df9ba7e0ed10,TVRjMk1UUTJOQUhBT0ZCR0ZB,38,6.4,1823-1542-7931-9454,JYVNMSWVIR,HAOFBGFA
Wm1sM2RIRjRZUFVPREpGQkdU,9e814da6c68edc48a327b94fb106204bbba80a306cc8a0e8e8d85527b3be8b84,T0RBd01UYzVNamdJVUhLVUhL,68,1.5,1814-7364-1039-7030,YPUODJFBGT,IUHKUHK
YldsNmRXbHBTT0JFRkFSQUlV,68bb3bbdb63f472b687089da9c256e35e67e6dd6354328d8241ab90faf63b0c8,TnpVek1qRTFOVFlNT09WSlRN,56,3,3047-9552-2992-9696,SOBEFARAIU,MOOVJTM
ZDJWNWEyVmtMV0dCQlFOUktV,10819b34d80eda5945a19c5e10d8e4817a148831d6a44eccd8fa8fdd317fcd32,TnprNE56WTVOaklNWEVSSkxO,53,4.8,4133-3151-4434-8801,LWGBBQNRKU,MXERJLN
WW05cGRYZHBORkxKVlFOUENF,fb5fc7bd3cfd7554db79cf9e6eb0b1a900c5e95ba3f8ad1fba5a07353b021a93,T1RnM09ESTBOREFBRUxVS0lY,21,4.3,2547-2079-5488-2743,NFLJVQNPCE,AELUKIX
YzNKMWJtcHpOQVFTTUlWRE9H,bcf971a71c0b9eebf7c3036e163acc48ee1c2b27e596f56b687ccd74b4847ac7,TkRFNU16VTJOREFNSUJNSE9Q,76,6.4,5014-3396-6800-9297,NAQSMIVDOG,MIBMHOP
ZW5ac2IyRjVRT0JPRktTWFpK,04b1c7673988ca4667165d7a6524cfb7c6e4ec617c9ec9c1b8d3b6a595d6724e,TXpNeU1UWTBPVGNUQkJNQUFZ,71,4.8,7406-7984-3871-6462,QOBOFKSXZJ,TBBMAAY
Y0dkeWMycHZFTU9YT0JZUlpR,8f28b88a31315c0d924b024489c2e19a829f99ce9968e3fed466f3b6c8d62467,TkRVMU1qSXdPRE1aUlNWVkxZ,39,3.8,8729-9392-2306-2805,EMOXOBYRZQ,ZRSVVLY
YW1sdmRIbG9RT0pZV05QRUxH,aa13a11a96abe267489ef189eb5bed3a71d3e57d0ae13dbc654288b15a0c4053,TWpjek5UWTJOek1RUkxHVkdH,23,1.8,4657-9479-4048-1610,QOJYWNPELG,QRLGVGG
Y21ONVpYWnRJREFKTkRHRExa,cbabf43d322287aa4248c08b7cceaf7ec14db1bb12e6f54815c090c7ce645609,TkRZek16Y3lORElIVUZGR0NR,74,5.9,3669-7150-8626-5950,IDAJNDGDLZ,HUFFGCQ
ZEhkdFptSjZYUVVXQ0FEQkhD,d64256fd96c1a54cc96c4e7c20220859835401709a276eab6a3dfb15ac3599fe,TVRjeE9UZ3pNalVWV05MWEJH,34,4.2,1082-6301-1498-7604,XQUWCADBHC,VWNLXBG
Wlc1dmFXUmhSU1NIRlZLSVlK,95d6eef1939e0eb34f9a0d5a412fe532a077e467aeb2ee68e5c76f58e0379ce3,TWpjek16RTBNUU1ZQU1BWFdV,75,2.4,6939-5326-9457-6835,RSSHFVKIYJ,MYAMAXWU
Wm05NGJXUm9ZRUtIUVdWRFRL,09679d7250b55dcd9e44261e8ff37448584848f1083a1fa8dab07b576decd90f,TWpjMk5ETTRNRElGSlFXS1RQ,73,4.4,6406-8376-6361-6770,YEKHQWVDTK,FJQWKTP
Ym1sbmRITjVZUUlSWE5XQVVZ,04b6f58bf9ece760048718ac009d1f5b6172b10ee39b1b3eda26cb7004574261,TlRBd09UWTRORGNKSVBXQVRI,38,1.4,2398-3307-1606-2251,YQIRXNWAUY,JIPWATH
Ym5Wd1pHMXBUVFpDSEhFQkJT,f414176b964ac6a90d4c2c968cc15076c9b2852e287f601cd8508dd06c740963,TlRVMk56azFNREFLR1ZEUE1Q,54,1.3,9574-5641-5944-9953,TTZCHHEBBS,KGVDPMP
Y0dWcGVHeDJCWEZNUVBRS0xV,3ef1316dcdda59802699484620c409ef012e1e5b84bf4a7376c5baa6fb7593be,T1RneE9ESXpOaklHT1ZMV0FW,68,7.2,2126-4383-9253-6791,BXFMQPQKLU,GOVLWAV
YldSNGVXbHJDRFVISEVQU1JR,bbe1b5ac83e92e46c5b171fb642b7ad40b4afc86fb8278fd023c44e58e500a90,T0RRMk16TTJOekFHQ0VEWVFP,31,2.3,1996-5941-4700-3171,CDUHHEPSRQ,GCEDYQO
Wm01aVltSnJPR0xQU0FUSkpJ,114c1f62bf6e0813963a584b61f9eecbf13e4cad03db01df781f54abf6a364b8,TlRrNE9UYzBOamNFSVpETFlK,40,5.4,7674-8576-2943-9515,OGLPSATJJI,EIZDLYJ
YTJwd2RuVndJU0dHWk1aQUxX,f2bbce10fdbfedf166a1d9186486cd18b696860ab30a486d2ccd6bbbcf09fe0b,T1RneE56UTBORElWTVJZT0pL,34,7.2,5908-8393-3921-3435,ISGGZMZALW,VMRYOJK
WTNwNWVHcHlLRlpORVhVRU9R,9fc025443f6a7ad555e58c51707c5478883950b264f80d34b393fbab52d7dc1d,TWpFeU5qTTRNekFVRFJLV1VX,55,6.3,9553-7291-1814-8061,KFZNEXUEOQ,UDRKWUW
WVhOMmEyaGtXUEtKSFJTR0FS,7d5bc3de0222a654d1299cd39c0a9a82d642c3a7060fa5ac7e447d24dd6648a2,TnpBNU5qTTFPREFOWFpPRkhZ,31,4.8,3597-4593-8372-1462,WPKJHRSGAR,NXZOFHY
WVdOM2RtVm5YQkpKSldHT1BJ,c79232536c827c452632144e16f1c7a5b52e5b1b81d632f40290ee924a5a16ba,TnpRNE56UTVNRFVJQ0tRSUhK,34,5.9,1932-3502-2584-4546,XBJJJWGOPI,ICKQIHJ
WkhkbGNHUmlaR1VSQk5SQlJL,5151db2d94a4090ae8584cfc37035de5cf3e81fb3ea238987c0dc6d54b033ab5,T1RJME56TTVNVGdNUE1PVFhM,71,6.3,2270-4816-1909-4475,ZGURBNRBRK,MPMOTXL
WkdKdWQzWnJPUllSSFBOV0JQ,203b34fa085b6540e8efbba99027c3e8024493aeeea0453c055c11bb550ed386,TXpRek1qUTJPVFFYTUpEWEdY,61,1.2,1566-9126-9710-6282,ORYRHPNWBP,XMJDXGX
YkhSb2VtbG1OWENaV1NVQ1pF,c7b9109bf5cd83da2b01529efa7a2551b23ea20ab5381421ec1f86b650507dc9,TWpnNE1EUTJNek1JWlRNT1FD,41,7.6,9763-1832-3537-9832,NXCZWSUCZE,IZTMOQC
ZG5GamFYRmtYTlBTWlZMSFpT,58bd60d3b516df3d605b5bd7cb3ea84258d01f4d492254bff98915b7f3a4938f,T1RneU9EVTNTSFNEVlNDWkVT,49,2.4,8749-1892-7294-1766,XNPSZVLHZS,SHSDVSCZES
Yld4MlluQnpKUkVHSVlTREJG,ab750f1ec82f7a28b0487b01b743bc5678d332e29eb29e86ddcd1a9a7829203b,TnpRMU9UQTBPQUFNS1ZBSU9E,30,7.7,3148-7412-7828-2225,JREGIYSDBF,AMKVAIOD
ZUdab2NtRjFOTEhTTkdIU09H,e099af756e649a2fd9f13099eba11d33e72f14a50880d67aad0cfd10862040ac,TnprMk16QTRNVE1DU0pVTExU,80,3.3,3372-9318-3991-8690,NLHSNGHSOG,CSJULLT
Ym1odmIydHhCTUJSR1NDUlZN,8035ab37fd55cb2e0a74e24bf52cbf82d2e85d70d7f8a4c1039f8bfab4f81329,TlRJeE9EVTFNelFPRFNMTE1W,54,7.3,7319-8563-4595-9347,BMBRGSCRVM,ODSLLMV
WTJSc2RYSmtQQURPRVNOT09a,d36adeffe51104b3d728135a6cf00cabe1ced78e23cdcf5ca9c03cce3a4593dc,TnpJNE1UazBOVFVQVVVVR1NM,64,2.4,4540-6082-9303-5181,PADOESNOOZ,PUUUGSL
YldOc2MzcGhSRE1SS0VBVElZ,649c504d25b90faedc46846d50699cad9d861bfe5032b58b59fdf317e1da1b29,TXpVMU56WTJNZ0ZNR1dCWlhN,79,8.5,2732-3434-5334-8857,RDMRKEATIY,FMGWBZXM
Ym1KNWVXaHBNUUZRUk5OVkxY,f683ab0bb00310b3f85359c9267f67d5c94fdd11130c911cf18793f95087dbe0,TnpZNE9Ua3pOelFRTEtZTVNU,30,5.5,2337-6122-8587-2763,MQFQRNNVLX,QLKYMST
Y1hWdGVYbHJKUkRXV0VOR1dV,949416accdd228f9b87d55fec58ea6932e548b8826685bcdcffc337c6dd24099,TkRnMU56TTJOUU1HWUNNTkJT,26,4,2382-3905-4699-6822,JRDWWENGWU,MGYCMNBS
WldKaWQybDRPV1pQUlhDQlFR,03c8ebd01c6314f1b78b8b6fff125bc8c4b5cc7ffc68eb8cd7afcdda29f063aa,T1RjMU9ETTFPRE1SUlZQUVlY,76,6.1,7381-4399-9818-4325,OWZPRXCBQQ,RRVPQYX
ZG5OcmRXOWlUQ0RSSEFSQURS,756d15f8dfa7904822c352670bd778978a01c8ce2968e8a035a7d3460948f682,TnpBM01UY3lOallVTU9LQklB,76,1.1,8364-4283-5204-5443,TCDRHARADR,UMOKBIA
Wm1semVIQnNOQldWRUpUWVlW,39b81c21c66f91caef9b3577bcea538a8f37616c4b95a8f800f0ba30c270062f,TkRVMU9EYzBPREFRVVpPUk9V,68,1,2613-7575-2856-1427,NBWVEJTYYV,QUZOROU
ZEhkMFlXSmhQTUtXV0JIVldJ,db53d5fa1d8ae63b72cc51161843f0b2ac7b9758020f6dc6ea5ef85c88e51d93,TmpZMU1qVTRNakVQSVNFQ01B,32,1,6086-5666-4880-6314,PMKWWBHVWI,PISECMA
YUhCd1kyVnFLQlBSS0FJUUhT,570aa2431b6c2d31a4eae242d07fa815b177e7a9a50f93fcd336b091065cbd12,TnpZM016TXlOemNRRFJJRVFH,39,8.1,9037-2933-2136-7305,KBPRKAIQHS,QDRIEQG
WldaeWNHRm5BSkNMSlJRWE1U,c64780bcdd90a21a0d03994bd032152dfe3702a53b0e1ba67a40eb6496fd95f1,TkRBd01EYzFOZ1NPSkdYTFJO,37,5.7,6531-1225-2596-7992,AJCLJRQXMT,SOJGXLRN
Y0dWemMycHFISk9NSlhJR1pY,ea6a1a2a1145ebeec6b919a676479d0481e7ef2010b06ba4a479db4e8aa592df,TmpRNE1qZzBOelVPWVBaUFlE,60,4.3,9265-1280-5261-3347,HJOMJXIGZX,OYPZPYD
YUhScGVXRmlMU1lEV0tJUElD,5b0af28a85250bb5a09b765aafcd7e25e4105c854da81b4b2c144d3aca15edff,T1RFMU9EVXpNVE1OUEpESFBP,48,7.8,5669-1622-6186-7642,LSYDWKIPIC,NPJDHPO
ZW1wa1lXVjBMQktIT0xYUklU,a652001ae964deb192b67d0ed8745d580a72a5ac26e7279a4d12256f16890a6e,TlRrMU1EVTBNRGdRTEJLSFJP,56,6.7,2881-9786-4093-6725,LBKHOLXRIT,QLBKHRO
WjI5blpIVnVGVFVYRkRORUlM,7ff6b41fe3fc6fd3b0c523f6f802e669add72e1288f57d2678f9314e0026c364,Tnpnd05qRTBNRFFZTk5KUlhS,73,8.4,6164-1632-7039-6332,FTUXFDNEIL,YNNJRXR
WW0xcWFHbDFJR0VIQlBERVJK,866e277512c083d73ed94c6508a2641f7cc31589801d5a5947dcc807cc510152,TVRReE9USTRPVFVGQU5aTFlT,29,8.8,3914-4999-5925-6430,IGEHBPDERJ,FANZLYS
YVhCNllYUjZURFFPQVRDRVdI,e7df68279346c721b59b0460d9254e038a672e2b8f99406259ae571aa0910f2d,TVRBeE1UYzJNRFFTQkZQTkFT,21,4.9,8421-9770-9763-3990,TDQOATCEWH,SBFPNAS
Wm1ob1kySnlNSExOVVVGWkpM,2cb719859c13650b8a89e89457889813c6c8e01c112b1080fdafd93b8aecd465,T0RFNE5EUTRNemNHUVRBQkZS,73,2.7,5199-1742-5615-3346,MHLNUUFZJL,GQTABFR
YVdsbGQycGlSV09LVVlPWFhI,9ab29da2065a4ebff08c42a83e12dc00b81c7abbc59adc7e59a0c76e04a47139,TWpJMU9UYzBPVGdVQlNTVFNZ,46,1.5,3975-1995-5012-5566,RWOKUYOXXH,UBSSTSY
Y0c1amMyVndBTk1SVklGQkpQ,7efb9e5abaa9bac03212d2c68ac7a8620cc497acb2eaa2263c329d62f4439f7d,TnpnNU5USTRPRE1VRU9VTEpN,22,6.9,1920-4031-7145-1558,ANMRVIFBJP,UEOULJM
Y0hSbmRXMXZZSkpBWlZRSk1O,b690ad5c411b95f39c895756d6de60b124fdc657fde360e73c90ec907bd273b9,T1RZM09EQTRPUVNIVE1VRENT,66,5.5,3539-2034-6180-6831,YJJAZVQJMN,SHTMUDCS
YzNSeGJIRmhTSFlTQ0paRUha,1f7365f287ef4321b192a42dbca1c3a85cd8805d28ca256cde6ad625f725f636,TnpNd05UTTNNalVHV0ZET0dO,47,6.8,1606-6233-8599-7306,SHYSCJZEHZ,GWFDOGN
ZUdKbllubGtVSlBGWlhHQUFC,2e7046a2ff2b9889f11c1721d39c3ab319432671e680803a04016a5d3f2ef967,TnpBd01EZ3dNQU1FWFZXS0lJ,21,8,3294-9256-3396-9047,UJPFZXGAAB,MEXVWKII
WW5kMWNIaDNQRkNWVEhIUkZY,b1c3e29074f997b0435a1f5a1f9d409647c81184d3e980bec10af2e6b02f022f,TnpNNE9UQXdOalVCSUVKREdR,39,8.5,6347-6266-1956-5373,PFCVTHHRFX,BIEJDGQ
YjIxdmVIaHhGVVlFVE9ZVVdZ,0f859076a78c794b3318147cf59487e650207fea6d9a8ea52ace992dfd9ebca0,TlRNeE1USTJNRGNGWVBYT05U,28,5,6030-3958-4136-2676,FUYETOYUWY,FYPXONT
Wlc5emNYTnBQTVRUQVlISklN,07cacaa7b5d49fda63f871dc13b3bc16839043bb64b2959f7d43c0714627fc62,T1RRek5qTXhOamdBQVhSTUtM,32,3.8,4923-5261-3469-7139,PMTTAYHJIM,AAXRMKL
Y0daNVkyUm5DSVdJWklXVlZS,2d2c7cf44c53f516be63f8e9c37bd68a862791fe21794ab492f6a536b5735cf2,TWpnek5qWTNOaklJTlJQREJW,74,2.9,9077-8531-5599-6889,CIWIZIWVVR,INRPDBV
Y1hOaFkyZGpTU0JUWVhGUkdW,dc8cf08c71d1a3ed00331aa77574f7e3157917b1dd2ccf480252c01874987120,TnpjeE16QTNNZ0pOWUFKVllM,36,1.2,4999-7634-8572-2424,SSBTYXFRGV,JNYAJVYL
WVhKaFltbHlYSUVJVkJIVERR,0f7d0dd6df41fb0343d05ae1f3a85f8b6791c00fd4c005440d4e29bc02eb95c5,TmpJMk1EUTVOemdFRVFXS0JY,53,8.5,1655-2850-5813-1511,XIEIVBHTDQ,EEQWKBX
ZDJOa1ptbHNaVFBRWlpMRExS,21180c261458a20fabb7c9c0613b9cc0c24eda710fcba4f212dcabc84e250024,TmpRMk1qYzBPREFWWVhTWEFG,60,1.8,7220-9607-7946-9112,ZTPQZZLDLR,VYXSXAF
YzNaMGFIaGlTVURHTUlZRkVJ,e3f7b5a7dd4f043d98f5028c6730cc9777659353a839954f0fbd3acfc808c231,T0RjNU9UazVOVFFQR1pWREtR,68,7.1,7475-7596-6014-6398,SUDGMIYFEI,PGZVDKQ
WW5KaGIyWnpGTEhaWFRQRE9I,8cf639ab33ea9030c2fac10566d84c6ae650614cd4bb7272894c2959aa9803ac,TWpjME9ETXhNek1XUkxWUUZZ,74,7.7,1907-8731-6437-1056,FLHZXTPDOH,WRLVQFY
WTNkM1pXZHRNRlVNWENLSkJY,57c08dcb75f91bc7cdfc2b16982d707bf306fd44a85e9b76fb32a44bf494ecb3,T1RVeU16YzVOeklaSVpHVkND,71,3.8,3615-3264-8647-3040,MFUMXCKJBX,ZIZGVCC
Wkd4cmJISjFBRURTSldBTVBS,688ffb14ed869ca08c88f14a8c72a211ca22ff6e44ac677a09390c47de4fc621,TVRFNU16RTBORGNBVlNQWkpa,28,7.8,8188-9008-3030-5511,AEDSJWAMPR,AVSPZJZ
YjJSdFltdHBGWldYT1NTVFdS,d8ddb0441ab8dcee56966751e77b011bb94afe67117c2ac373fd737fa29a613f,T1RVeE56RTRNalFHT1ZGTVFX,74,1.6,7037-1161-4343-4689,FZWXOSSTWR,GOVFMQW
YzJOdGNuSjFYQ1VOU0hZWEtI,32cc317f1ce5e7f578b1223eec1bdbe5a3946629d2724262f98b8b0c7ffa2ba3,TnpFeU1UVXdOakFYU1pLVEhT,27,6.9,9367-2478-5810-1378,XCUNSHYXKH,XSZKTHS
WTJKMGFIVmhDVUhERkdOR1dK,ce6bbc42ba7e02d9e36362de8b1d6b014ce754f044f2f6db8a0ef24bc83c05ba,TnpNME9EVTNNVGNXV01aVkNT,69,7.6,4749-2471-4435-6473,CUHDFGNGWJ,WWMZVCS
